,source,id,sent_at,text,chat_participiant_id,chat_participiant_type
27,nuance,ukswebjbjty27yvylqtjg,2022-02-10T07:38:28-06:00,que precio tiene un aparato ecg mac 2000?,visitor,-6.728551544097221e+18
28,nuance,vkpwd66fnwyos5o5r6d4g,2022-02-03T05:16:11-06:00,Agent '212455385' enters chat (as <PERSON>),rep,212455385.0
29,nuance,vkogd65yzzm7jutfwkcpc,2022-02-03T04:24:15-06:00,Gracias por ponerse en contacto con nosotros. ¡Esperamos volver a saber de usted muy pronto! Que tenga un buen día.,rep,212455385.0
30,nuance,vksgd65spi5u74s5veq6y,2022-02-03T03:55:02-06:00,Hola! Estoy pensado y montat mi consulta,visitor,-6.150683461317639e+18
31,nuance,vksgd65spi5u74s5veq6y,2022-02-03T03:56:29-06:00,está en tramitación,rep,212455385.0
32,nuance,vkngd6jnofpx5rvxfxxrq,2022-02-01T06:03:25-06:00,"Sí, gracias, ¿qué significa ""AX PD propeller FS""?",visitor,-6.150401993271329e+18
33,nuance,vkpgd4updot7hhhetvb5y,2022-01-27T05:33:27-06:00,¡Hola! ¿Podría ayudarle con alguna pregunta que tenga?,bot,
34,nuance,ukowd2uxgpddmthxz3jug,2022-01-21T04:30:38-06:00,monitorización analgesia intraoopratoria,visitor,-6.729959032966409e+18
35,nuance,ukogd2j7o73tx4qqpjueq,2022-01-20T04:09:09-06:00,"Gracias por ponerse en contacto vía chat. Si necesita ayuda adicional, no dude en comentárnoslo. ¡Que tenga un buen día!",rep,212455385.0
36,nuance,uksgdyldib6orejp5bkty,2022-01-14T04:57:48-06:00,¡Hola! ¿Cómo puedo ayudarle hoy?,bot,
37,nuance,uksgdyldib6orejp5bkty,2022-01-14T05:00:22-06:00,Please write me an email to <EMAIL_ADDRESS>,rep,212455385.0
38,nuance,ukmgdyaozz2hft6bqhewo,2022-01-13T04:45:13-06:00,¡Hola! ¿Cómo puedo ayudarle hoy?,bot,
39,nuance,vkogdxvrvdwaz6utsfmqs,2022-01-12T03:59:02-06:00,saludos,visitor,-6.153498331760025e+18
40,nuance,vksgdxvohq4ecv4jmzkv6,2022-01-12T03:41:49-06:00,Hola buenos días,rep,212455385.0
41,nuance,vkngdtml7sde3ilm2edne,2021-12-30T03:53:46-06:00,Gracias por sus respuestas <PERSON> los detalles al comercial de zona que se pondrá en contacto con usted lo antes posible.,rep,212455385.0
42,nuance,vkmwdsxjtmszlmkn35q4y,2021-12-28T03:56:12-06:00,"como no sé qué precios tienen, por eso le preguntaba",visitor,-6.151246616905075e+18
43,nuance,vkswdqnissiuy4rqlldbm,2021-12-21T03:21:06-06:00,¡Hola! ¿Podría ayudarle con alguna pregunta que tenga?,bot,
44,nuance,vkqwdqcstam74gzqfjnfm,2021-12-20T03:02:06-06:00,hola,visitor,-6.154342887132176e+18
45,nuance,vkowdoyqn4fuxppojtk7o,2021-12-16T03:23:44-06:00,Agent '212455385' enters chat (as <PERSON>),rep,212455385.0
46,nuance,vkrwdkfblnconz44karpe,2021-12-02T03:50:42-06:00,espero a que me diga algo,visitor,-6.153217088983199e+18
47,nuance,vkrwdkfblnconz44karpe,2021-12-02T03:55:52-06:00,<EMAIL_ADDRESS>,visitor,-6.153217088983199e+18
48,nuance,ukmwdjqvn3voomyy54cm2,2021-11-30T05:26:41-06:00,Chat Session Ended due to agent leaving the chatroom,visitor,-6.727707527423873e+18
49,nuance,ukmwdh3fit74t2khc3dg4,2021-11-25T03:47:41-06:00,"yo le respondo, estamos en <LOCATION>",visitor,-6.727426081139601e+18
50,nuance,ukmwdh3fit74t2khc3dg4,2021-11-25T03:49:41-06:00,"de acuerdo, muchas gracias",visitor,-6.727426081139601e+18
51,nuance,ukowdhrhgla4nmrl3qrj2,2021-11-24T05:02:52-06:00,Dirección por favor?,rep,212455385.0
52,nuance,uksgdhrfvxfwtjyvallrm,2021-11-24T04:59:54-06:00,The customer closed the browser window,visitor,-6.727426086503278e+18
53,nuance,ukmgdhqtqfbvvcduacu5s,2021-11-24T03:49:00-06:00,"<LOCATION> días, me pongo en contacto con usted desde el <LOCATION>, necesitamos repuestos par unas incubadoras OHMEDA CARE PLUS, creemos que estan obsoleteas y queriamos saber a que sección dirigirnos para solicirtar repuestos o carta de obsolescencia.",visitor,-6.729677886618136e+18
54,nuance,ukowdhftylcf44uxpqei2,2021-11-23T02:39:23-06:00,<EMAIL_ADDRESS> <LOCATION> de atención al cliente <PHONE_NUMBER>.,rep,212455385.0
55,nuance,ukowdhftylcf44uxpqei2,2021-11-23T02:39:34-06:00,gracias.,visitor,-6.727144617738856e+18
56,nuance,ukswdf4qxlkdjxiegeouy,2021-11-19T05:10:55-06:00,transfer notes: auto transferred because agent did not respond within SLA,bot,
57,nuance,ukswdf36zrubvnz5wp4ou,2021-11-19T03:47:51-06:00,estoy buscando la sonda eco vscan air,visitor,-6.727426138005192e+18
58,nuance,ukswdfr2rswlih2ghp6kw,2021-11-18T04:46:26-06:00,Gracias por ponerse en contacto con nosotros. ¡Esperamos volver a saber de usted muy pronto! Que tenga un buen día.,rep,212455385.0
59,nuance,ukqgddshfwltbalgqubuq,2021-11-12T04:00:37-06:00,Agent '212455385' enters chat (as <PERSON>),rep,212455385.0
60,nuance,ukqgddshfwltbalgqubuq,2021-11-12T04:01:21-06:00,Gracias,visitor,-6.727989104609499e+18
61,nuance,ukrwddi4fu334d4wkzyqe,2021-11-11T07:12:45-06:00,"Gracias por sus respuestas. Enviare los detalles al regional Account Manager, que se pondrá en contacto con usted lo antes posible.",rep,212455385.0
62,nuance,vkngdati4txfdb43n6ngk,2021-11-03T04:56:31-05:00,¡Hola! ¿Cómo puedo ayudarle hoy?,bot,
63,nuance,vkmwc6s4ro6viomwiy6r2,2021-10-28T02:27:22-05:00,Chat Session Ended due to agent leaving the chatroom,visitor,-6.154061712643029e+18
